Hatchback;four-wheel;covered
Hatchback, Convertible;four-wheel;glazed
Wagon;four-wheel;reclining
Sedan;four-wheel;reclining
Van/Minivan;rear;reclining
Sedan;front-wheel;covered
Coupe, Sedan, Wagon, Convertible;four-wheel;covered
Sedan;rear;covered
Van/Minivan;rear;covered
SUV;rear;reclining
Sedan;front-wheel;covered
SUV;four-wheel;reclining
SUV;rear;covered
Pickup;rear;covered
Van/Minivan;four-wheel;covered
Sedan;rear;glazed
Sedan;four-wheel;glazed
SUV;four-wheel;glazed
Sedan;front-wheel;covered
Convertible;four-wheel;reclining
Pickup;four-wheel;reclining
SUV;front-wheel;glazed
Sedan;rear;covered
Pickup;front-wheel;glazed
Pickup;four-wheel;covered
SUV;rear;glazed
Wagon, Sedan;four-wheel;covered
Sedan;front-wheel;reclining
Pickup;rear;glazed
Hatchback;front-wheel;covered
SUV;front-wheel;glazed
SUV;front-wheel;reclining
Sedan;front-wheel;reclining
Pickup;four-wheel;covered
Sedan;front-wheel;reclining
SUV;four-wheel;reclining
Wagon;rear;reclining
Hatchback;front-wheel;covered
SUV;rear;covered
Wagon;rear;glazed
Pickup;four-wheel;covered
Coupe;rear;glazed
Hatchback;four-wheel;reclining
Convertible;rear;reclining
Sedan;four-wheel;reclining
Sedan;front-wheel;reclining
SUV;four-wheel;covered
Sedan;four-wheel;reclining
SUV;four-wheel;reclining
Sedan;rear;covered
Coupe;four-wheel;reclining
Van/Minivan;four-wheel;covered
SUV;front-wheel;covered
Convertible;four-wheel;covered
SUV;front-wheel;covered
Hatchback;rear;glazed
Hatchback;rear;reclining
SUV;rear;covered
SUV;front-wheel;glazed
Van/Minivan;front-wheel;glazed
Sedan;four-wheel;reclining
Coupe;four-wheel;glazed
Pickup;four-wheel;covered
Sedan;front-wheel;glazed
Pickup;rear;glazed
SUV;four-wheel;glazed
Sedan, Convertible;four-wheel;reclining
Hatchback;rear;glazed
Sedan;rear;reclining
Hatchback;rear;reclining
Pickup;front-wheel;reclining
Hatchback;front-wheel;reclining
SUV;four-wheel;glazed
Coupe, Convertible;four-wheel;covered
Convertible;rear;covered
SUV;rear;reclining
Van/Minivan;front-wheel;covered
Hatchback;front-wheel;covered
Sedan;front-wheel;reclining
Convertible;rear;reclining
SUV;front-wheel;covered
Pickup;four-wheel;reclining
Van/Minivan;rear;reclining
SUV;front-wheel;reclining
Convertible;four-wheel;covered
Pickup;front-wheel;glazed
Pickup;four-wheel;glazed
Van/Minivan;front-wheel;covered
Van/Minivan;four-wheel;covered
Sedan;four-wheel;glazed
Sedan, Wagon;four-wheel;glazed
Coupe, Sedan;front-wheel;glazed
SUV;front-wheel;reclining
Van/Minivan;front-wheel;reclining
Pickup;front-wheel;glazed
Van/Minivan;front-wheel;covered
Sedan;front-wheel;covered
Coupe;four-wheel;glazed
SUV;rear;covered
Sedan, Coupe, Convertible;four-wheel;covered
Convertible;four-wheel;covered
Sedan;rear;reclining
Van/Minivan;front-wheel;glazed
Pickup;four-wheel;glazed
Pickup;rear;reclining
SUV;rear;glazed
SUV;four-wheel;reclining
Sedan, Coupe;rear;glazed
SUV;rear;glazed
Sedan, Wagon;rear;covered
Pickup;front-wheel;reclining
Van/Minivan;rear;reclining
Van/Minivan;front-wheel;reclining
Sedan;rear;covered
Van/Minivan;rear;reclining
Convertible;front-wheel;reclining
Sedan;four-wheel;covered
Coupe, Sedan;four-wheel;covered
SUV;front-wheel;covered
SUV;four-wheel;reclining
Coupe;front-wheel;reclining
Pickup;front-wheel;glazed
SUV;four-wheel;glazed
SUV;front-wheel;reclining
Pickup;rear;covered
SUV;four-wheel;reclining
Van/Minivan;front-wheel;covered
Sedan;front-wheel;covered
Coupe, Convertible;four-wheel;covered
SUV;rear;reclining
Sedan, Coupe;front-wheel;glazed
Coupe, Sedan;front-wheel;glazed
Van/Minivan;rear;reclining
Van/Minivan;rear;reclining
Hatchback;front-wheel;reclining
Sedan;four-wheel;covered
SUV;rear;glazed
SUV;rear;reclining
Sedan;front-wheel;reclining
Sedan;front-wheel;covered
SUV;rear;reclining
Coupe, Sedan;front-wheel;covered
