Hatchback;front-wheel;covered
Pickup;four-wheel;covered
Wagon, Sedan, Coupe;rear;glazed
Coupe, Convertible, Sedan;front-wheel;covered
Van/Minivan;four-wheel;reclining
Sedan;front-wheel;covered
Sedan;front-wheel;covered
Sedan;rear;covered
Coupe;front-wheel;covered
Sedan;four-wheel;glazed
Sedan;four-wheel;glazed
Sedan, Hatchback;four-wheel;glazed
Sedan;four-wheel;covered
Sedan, Hatchback;rear;reclining
Sedan, Hatchback;four-wheel;covered
SUV;rear;covered
Sedan;front-wheel;glazed
Sedan;four-wheel;reclining
SUV;rear;glazed
Van/Minivan;rear;covered
SUV;four-wheel;reclining
Sedan;rear;reclining
Sedan;four-wheel;glazed
Hatchback;rear;covered
Pickup;front-wheel;covered
Coupe, Convertible, Sedan;rear;glazed
Pickup;four-wheel;glazed
Coupe, Sedan, Hatchback;front-wheel;glazed
Pickup;four-wheel;reclining
Wagon;rear;covered
Pickup;front-wheel;covered
Hatchback;four-wheel;glazed
Sedan;four-wheel;glazed
Hatchback;rear;covered
Van/Minivan;front-wheel;glazed
Sedan;four-wheel;glazed
SUV;rear;covered
Pickup;four-wheel;covered
Van/Minivan;rear;covered
SUV;four-wheel;glazed
SUV;four-wheel;glazed
Van/Minivan;front-wheel;covered
Van/Minivan;rear;reclining
Sedan;front-wheel;reclining
Sedan;rear;reclining
Sedan;four-wheel;covered
Sedan;rear;covered
Sedan, Hatchback;four-wheel;reclining
Sedan;front-wheel;covered
Wagon, Sedan, Coupe;rear;covered
Sedan;front-wheel;reclining
Sedan;front-wheel;reclining
Sedan;rear;glazed
Wagon;four-wheel;glazed
Coupe, Convertible, Sedan;four-wheel;reclining
SUV;front-wheel;glazed
Pickup;rear;glazed
Sedan;rear;glazed
Sedan;four-wheel;reclining
SUV;rear;reclining
Sedan;front-wheel;glazed
Sedan;rear;covered
Hatchback;front-wheel;glazed
Pickup;rear;glazed
Coupe;four-wheel;glazed
Sedan;front-wheel;covered
Sedan;front-wheel;reclining
SUV;front-wheel;glazed
SUV;four-wheel;covered
Coupe;rear;covered
Sedan;front-wheel;covered
SUV;front-wheel;covered
SUV;front-wheel;glazed
Van/Minivan;front-wheel;reclining
Sedan;four-wheel;reclining
Pickup;rear;glazed
Sedan, Hatchback;front-wheel;covered
SUV;four-wheel;glazed
Sedan, Wagon, Coupe;four-wheel;covered
Sedan;four-wheel;covered
SUV;rear;covered
SUV;front-wheel;glazed
Sedan;four-wheel;glazed
Pickup;rear;reclining
SUV;four-wheel;covered
SUV;rear;reclining
Coupe;rear;reclining
Van/Minivan;four-wheel;reclining
Sedan, Hatchback;four-wheel;glazed
Convertible, Coupe;four-wheel;glazed
SUV;rear;glazed
Sedan;four-wheel;covered
SUV;rear;glazed
Sedan;four-wheel;covered
Coupe, Sedan;front-wheel;glazed
Van/Minivan;rear;reclining
SUV;front-wheel;reclining
SUV;four-wheel;covered
Sedan, Hatchback;four-wheel;reclining
SUV;rear;reclining
